    0.0000000000D+00    0.1000000000D+01    0.1000000000D+01
    0.1000000000D+01    0.9971498675D+00    0.1000000000D+01
    0.2000000000D+01    0.9886300748D+00    0.1000000000D+01
    0.3000000000D+01    0.9745513193D+00    0.1000000000D+01
    0.4000000000D+01    0.9550968050D+00    0.1000000000D+01
    0.5000000000D+01    0.9305115462D+00    0.1000000000D+01
    0.6000000000D+01    0.9010927309D+00    0.1000000000D+01
    0.7000000000D+01    0.8671799046D+00    0.1000000000D+01
    0.8000000000D+01    0.8291454125D+00    0.1000000000D+01
    0.9000000000D+01    0.7873851131D+00    0.1000000000D+01
    0.1000000000D+02    0.7423091394D+00    0.1000000000D+01
    0.1100000000D+02    0.6943325643D+00    0.1000000000D+01
    0.1200000000D+02    0.6438661641D+00    0.1000000000D+01
    0.1300000000D+02    0.5913078935D+00    0.1000000000D+01
    0.1400000000D+02    0.5370359583D+00    0.1000000000D+01
    0.1500000000D+02    0.4814043621D+00    0.1000000000D+01
    0.1600000000D+02    0.4247414912D+00    0.1000000000D+01
    0.1700000000D+02    0.3673517863D+00    0.1000000000D+01
    0.1800000000D+02    0.3095199845D+00    0.1000000000D+01
    0.1900000000D+02    0.2515169756D+00    0.1000000000D+01
    0.2000000000D+02    0.1936061142D+00    0.1000000000D+01
    0.2100000000D+02    0.1360488695D+00    0.1000000000D+01
    0.2200000000D+02    0.7910894443D-01    0.1000000000D+01
    0.2300000000D+02    0.2305434225D-01    0.1000000000D+01
    0.2400000000D+02   -0.3184278835D-01    0.1000000000D+01
    0.2500000000D+02   -0.8530840844D-01    0.1000000000D+01
    0.2600000000D+02   -0.1370706181D+00    0.1000000000D+01
    0.2700000000D+02   -0.1868649974D+00    0.1000000000D+01
    0.2800000000D+02   -0.2344407072D+00    0.1000000000D+01
    0.2900000000D+02   -0.2795667359D+00    0.1000000000D+01
    0.3000000000D+02   -0.3220376459D+00    0.1000000000D+01
    0.3100000000D+02   -0.3616781944D+00    0.1000000000D+01
    0.3200000000D+02   -0.3983462965D+00    0.1000000000D+01
    0.3300000000D+02   -0.4319339774D+00    0.1000000000D+01
    0.3400000000D+02   -0.4623662095D+00    0.1000000000D+01
    0.3500000000D+02   -0.4895978106D+00    0.1000000000D+01
    0.3600000000D+02   -0.5136088364D+00    0.1000000000D+01
    0.3700000000D+02   -0.5343990947D+00    0.1000000000D+01
    0.3800000000D+02   -0.5519825014D+00    0.1000000000D+01
    0.3900000000D+02   -0.5663819818D+00    0.1000000000D+01
    0.4000000000D+02   -0.5776255147D+00    0.1000000000D+01
    0.4100000000D+02   -0.5857437350D+00    0.1000000000D+01
    0.4200000000D+02   -0.5907692897D+00    0.1000000000D+01
    0.4300000000D+02   -0.5927379060D+00    0.1000000000D+01
    0.4400000000D+02   -0.5916909146D+00    0.1000000000D+01
    0.4500000000D+02   -0.5876787864D+00    0.1000000000D+01
    0.4600000000D+02   -0.5807651205D+00    0.1000000000D+01
    0.4700000000D+02   -0.5710304693D+00    0.1000000000D+01
    0.4800000000D+02   -0.5585754157D+00    0.1000000000D+01
    0.4900000000D+02   -0.5435224164D+00    0.1000000000D+01
    0.5000000000D+02   -0.5260160938D+00    0.1000000000D+01
    0.5100000000D+02   -0.5062218554D+00    0.1000000000D+01
    0.5200000000D+02   -0.4843229323D+00    0.1000000000D+01
    0.5300000000D+02   -0.4605161251D+00    0.1000000000D+01
    0.5400000000D+02   -0.4350066931D+00    0.1000000000D+01
    0.5500000000D+02   -0.4080029227D+00    0.1000000000D+01
    0.5600000000D+02   -0.3797109356D+00    0.1000000000D+01
    0.5700000000D+02   -0.3503302590D+00    0.1000000000D+01
    0.5800000000D+02   -0.3200505790D+00    0.1000000000D+01
    0.5900000000D+02   -0.2890499468D+00    0.1000000000D+01
    0.6000000000D+02   -0.2574945247D+00    0.1000000000D+01
    0.6100000000D+02   -0.2255397667D+00    0.1000000000D+01
    0.6200000000D+02   -0.1933327481D+00    0.1000000000D+01
    0.6300000000D+02   -0.1610152193D+00    0.1000000000D+01
    0.6400000000D+02   -0.1287268743D+00    0.1000000000D+01
    0.6500000000D+02   -0.9660831210D-01    0.1000000000D+01
    0.6600000000D+02   -0.6480322499D-01    0.1000000000D+01
    0.6700000000D+02   -0.3345946558D-01    0.1000000000D+01
    0.6800000000D+02   -0.2728805365D-02    0.1000000000D+01
    0.6900000000D+02    0.2723462531D-01    0.1000000000D+01
    0.7000000000D+02    0.5627705310D-01    0.1000000000D+01
    0.7100000000D+02    0.8424862662D-01    0.1000000000D+01
    0.7200000000D+02    0.1110074220D+00    0.1000000000D+01
    0.7300000000D+02    0.1364234320D+00    0.1000000000D+01
    0.7400000000D+02    0.1603820872D+00    0.1000000000D+01
    0.7500000000D+02    0.1827869169D+00    0.1000000000D+01
    0.7600000000D+02    0.2035610620D+00    0.1000000000D+01
    0.7700000000D+02    0.2226474896D+00    0.1000000000D+01
    0.7800000000D+02    0.2400079174D+00    0.1000000000D+01
    0.7900000000D+02    0.2556206093D+00    0.1000000000D+01
    0.8000000000D+02    0.2694773405D+00    0.1000000000D+01
    0.8100000000D+02    0.2815799259D+00    0.1000000000D+01
    0.8200000000D+02    0.2919367455D+00    0.1000000000D+01
    0.8300000000D+02    0.3005596922D+00    0.1000000000D+01
    0.8400000000D+02    0.3074618952D+00    0.1000000000D+01
    0.8500000000D+02    0.3126564621D+00    0.1000000000D+01
    0.8600000000D+02    0.3161563468D+00    0.1000000000D+01
    0.8700000000D+02    0.3179752990D+00    0.1000000000D+01
    0.8800000000D+02    0.3181297149D+00    0.1000000000D+01
    0.8900000000D+02    0.3166410935D+00    0.1000000000D+01
    0.9000000000D+02    0.3135387313D+00    0.1000000000D+01
    0.9100000000D+02    0.3088622599D+00    0.1000000000D+01
    0.9200000000D+02    0.3026636554D+00    0.1000000000D+01
    0.9300000000D+02    0.2950084190D+00    0.1000000000D+01
    0.9400000000D+02    0.2859757343D+00    0.1000000000D+01
    0.9500000000D+02    0.2756575366D+00    0.1000000000D+01
    0.9600000000D+02    0.2641565652D+00    0.1000000000D+01
    0.9700000000D+02    0.2515835942D+00    0.1000000000D+01
    0.9800000000D+02    0.2380541365D+00    0.1000000000D+01
    0.9900000000D+02    0.2236849756D+00    0.1000000000D+01
    0.1000000000D+03    0.2085908947D+00    0.1000000000D+01
